utc_week,country,os,vertical,company_name,cpm,cpi,ftd_rate,prev_week_ftd_rate,gross_spend_usd,rnk,,,,
2025-08-25,USA,IOS,RMG,Cash Bridge Sparkle Limited,34.13680867,40.43201044,,,17312.68321,13,,,,"),"
2025-08-25,USA,IOS,RMG,"Herra Mag, S.A. de C.V.",49.95412767,31.43738489,,,16031.23319,14,,,,first_purchase AS (
2025-08-25,USA,IOS,RMG,JoyBox Studio Limited,33.0048965,21.72239503,,,14676.68948,15,,,,SELECT
2025-08-25,USA,IOS,RMG,Prism Cognitive Compass Limited,74.35075,31.00458051,,,14510.14368,16,,,,"FORMAT_TIMESTAMP('%F', TIMESTAMP_TRUNC(timestamp_utc, WEEK(MONDAY))) AS utc_week,"
2025-08-25,USA,IOS,RMG,ChronoSphere Labs LTD,46.917644,36.7054297,,,14340.3742,17,,,,"campaign.country AS country,"
2025-08-25,USA,IOS,RMG,"FBG ENTERPRISES OPCO, LLC",32.0370145,118.9918004,0,0,12040.49824,18,,,,"campaign.os AS os,"
2025-08-25,USA,IOS,RMG,WISE WISHES STUDIO LIMITED,43.51820667,32.31219448,,,7804.434383,19,,,,"product.app_market_bundle AS app_market_bundle,"
2025-08-25,USA,IOS,RMG,Murka Games Limited,45.50205483,22.93282665,,,7179.447311,20,,,,"CASE WHEN a.rmg_segment = 'Sports Betting' THEN 'Sportsbetting' ELSE 'RMG' END AS vertical,"
2025-08-25,USA,IOS,RMG,Wild Koala Inc,138.654385,10.97771528,,,6970.849203,21,,,,CASE
2025-08-25,USA,IOS,RMG,Enchantia Entertainment Studio Limited,37.13708667,40.63098175,,,6462.455469,22,,,,"WHEN creative.format IN ('nv', 'vi', 'vb') THEN 'Video'"
2025-08-25,USA,IOS,RMG,LA Tech Designs LLC,63.93459533,8.834491576,,,4427.930794,23,,,,"WHEN creative.format IN ('db', 'ib', 'di', 'ii', 'ni', 'nl') THEN 'Statics'"
2025-08-25,USA,IOS,RMG,M-LEAGUE PTE LTD.,20.27203,12.06985484,,,3772.834169,24,,,,"WHEN creative.format IN ('ri', 'rb') THEN 'Playables'"
,,,,,,,,,,,,,,"END AS creative_format,"
,,,,,,,,,,,,,,"SUM(kpi_actions_d7) AS kpi_actions_d7,"
,,,,,,,,,,,,,,SUM(installs) AS installs
,,,,,,,,,,,,,,FROM moloco-ae-view.athena.fact_dsp_all f
,,,,,,,,,,,,,,LEFT JOIN moloco-ae-view.athena.dim1_app m ON f.product.app_market_bundle = m.app_market_bundle AND f.campaign.os = m.os
,,,,,,,,,,,,,,LEFT JOIN ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles a ON f.product.app_market_bundle = a.app_market_bundle
,,,,,,,,,,,,,,WHERE DATE(timestamp_utc) >= '2024-08-01'
,,,,,,,,,,,,,,AND product.app_market_bundle IN (SELECT app_market_bundle FROM ads-bpd-guard-sandbox.insights_engine.known_rmg_bundles)
,,,,,,,,,,,,,,AND campaign.country IN ('USA')
,,,,,,,,,,,,,,AND ((UPPER(event.name) LIKE '%FIRST%' AND UPPER(event.name) LIKE '%DEPOSIT%') OR event.name = ' FirstTimeDeposit')
,,,,,,,,,,,,,,"GROUP BY 1,2,3,4,5,6"
,,,,,,,,,,,,,,"),"
,,,,,,,,,,,,,,cohort AS (
,,,,,,,,,,,,,,SELECT
,,,,,,,,,,,,,,"m.*, f.kpi_actions_d7,"
,,,,,,,,,,,,,,"SAFE_DIVIDE(f.kpi_actions_d7, m.installs) AS ftd_rate,"
,,,,,,,,,,,,,,"SAFE_DIVIDE(m.gross_spend_usd, f.kpi_actions_d7) AS cftd"
,,,,,,,,,,,,,,FROM main m
,,,,,,,,,,,,,,LEFT JOIN first_purchase f
,,,,,,,,,,,,,,ON m.utc_week = f.utc_week
,,,,,,,,,,,,,,AND m.country = f.country
,,,,,,,,,,,,,,AND m.os = f.os
,,,,,,,,,,,,,,AND m.vertical = f.vertical
,,,,,,,,,,,,,,AND m.creative_format = f.creative_format
,,,,,,,,,,,,,,AND m.fact_dsp_creative_product_app_market_bundle = f.app_market_bundle
,,,,,,,,,,,,,,WHERE m.installs > 0 AND gross_spend_usd > 0
,,,,,,,,,,,,,,"),"
,,,,,,,,,,,,,,cohort2 AS (
,,,,,,,,,,,,,,SELECT
,,,,,,,,,,,,,,"utc_week,"
,,,,,,,,,,,,,,"country,"
,,,,,,,,,,,,,,"c.os,"
,,,,,,,,,,,,,,"vertical,"
,,,,,,,,,,,,,,"--c.fact_dsp_creative_product_app_market_bundle AS company_name,"
,,,,,,,,,,,,,,"COALESCE(m.dataai.publisher_name,m.sensortower.company_name,m.matters42.publisher_name,'') AS company_name,"
,,,,,,,,,,,,,,"AVG(cpm) AS cpm,"
,,,,,,,,,,,,,,"AVG(cpi) AS cpi,"
,,,,,,,,,,,,,,"SUM(installs) AS installs,"
,,,,,,,,,,,,,,"SUM(kpi_actions_d7) AS kpi_actions_d7,"
,,,,,,,,,,,,,,"SUM(gross_spend_usd) AS gross_spend_usd,"
,,,,,,,,,,,,,,"AVG(avg_user_spend) AS avg_user_spend,"
,,,,,,,,,,,,,,"AVG(ftd_rate) AS ftd_rate,"
,,,,,,,,,,,,,,AVG(cftd) AS cftd
,,,,,,,,,,,,,,FROM cohort c
,,,,,,,,,,,,,,LEFT JOIN moloco-ae-view.athena.dim1_app m ON c.fact_dsp_creative_product_app_market_bundle = m.app_market_bundle
,,,,,,,,,,,,,,-- where m.dataai.company_name is not null
,,,,,,,,,,,,,,"GROUP BY 1,2,3,4,5"
,,,,,,,,,,,,,,)
,,,,,,,,,,,,,,","
,,,,,,,,,,,,,,cohort3 as (
,,,,,,,,,,,,,,SELECT
,,,,,,,,,,,,,,"utc_week,"
,,,,,,,,,,,,,,"country,"
,,,,,,,,,,,,,,"os,"
,,,,,,,,,,,,,,"vertical,"
,,,,,,,,,,,,,,"company_name,"
,,,,,,,,,,,,,,"--name,"
,,,,,,,,,,,,,,"cpm,"
,,,,,,,,,,,,,,"cpi,"
,,,,,,,,,,,,,,"ftd_rate,"
,,,,,,,,,,,,,,"gross_spend_usd,"
,,,,,,,,,,,,,,LAG(ftd_rate) OVER (
,,,,,,,,,,,,,,"PARTITION BY country, os, vertical, company_name"
,,,,,,,,,,,,,,ORDER BY utc_week) AS prev_week_ftd_rate
,,,,,,,,,,,,,,"--DENSE_RANK() OVER (PARTITION BY utc_week, country, os, vertical ORDER BY gross_spend_usd DESC) AS rnk"
,,,,,,,,,,,,,,FROM cohort2
,,,,,,,,,,,,,,WHERE gross_spend_usd > 1000 and company_name is not null and company_name <> ''
,,,,,,,,,,,,,,)
,,,,,,,,,,,,,,Select
,,,,,,,,,,,,,,"utc_week,"
,,,,,,,,,,,,,,"country,"
,,,,,,,,,,,,,,"os,"
,,,,,,,,,,,,,,"vertical,"
,,,,,,,,,,,,,,"company_name,"
,,,,,,,,,,,,,,--name
,,,,,,,,,,,,,,"cpm,"
,,,,,,,,,,,,,,"cpi,"
,,,,,,,,,,,,,,"ftd_rate,"
,,,,,,,,,,,,,,"prev_week_ftd_rate, -- <- Added this field"
,,,,,,,,,,,,,,"gross_spend_usd,"
,,,,,,,,,,,,,,DENSE_RANK() OVER (
,,,,,,,,,,,,,,"PARTITION BY utc_week, country, os, vertical"
,,,,,,,,,,,,,,ORDER BY gross_spend_usd DESC
,,,,,,,,,,,,,,) AS rnk
,,,,,,,,,,,,,,FROM cohort3
,,,,,,,,,,,,,,where utc_week = (
,,,,,,,,,,,,,,SELECT MAX(utc_week) FROM cohort3
,,,,,,,,,,,,,,)
